affiliations_original,affiliation_1,affiliation_2,confidence,manual,affiliation_1_manual,affiliation_2_manual
Lobachevsky State University of Nizhny Novgorod - Department of Management and Public Administration and Lobachevsky State University of Nizhny Novgorod - Department of Management and Public Administration,Lobachevsky State University of Nizhny Novgorod - Department of Management and Public Administration and Lobachevsky State University of Nizhny Novgorod - Department of Management,Public Administration,66,,,
"EDUCATION MALAYSIA JORDAN , Jadara University and Yarmouk University - World Islamic Science and Education University","EDUCATION MALAYSIA JORDAN , Jadara University and Yarmouk University - World Islamic Science",Education University,66,,,
Lobachevsky State University of Nizhny Novgorod - Department of Management and Public Administration and Lobachevsky State University of Nizhny Novgorod - Department of Management and Public Administration,Lobachevsky State University of Nizhny Novgorod - Department of Management and Public Administration and Lobachevsky State University of Nizhny Novgorod - Department of Management,Public Administration,66,,,
"University of California, Berkeley and University of California, Berkeley - Charles and Louise Travers Department of Political Science","University of California, Berkeley","University of California, Berkeley - Charles and Louise Travers Department of Political Science",66,,,
Bank of Finland - Monetary Policy and Research Department and Aalto University - School of Business,Bank of Finland - Monetary Policy and Research Department,Aalto University - School of Business,66,,,
"Department of Management and Production Engineering, Politecnico di Torino and Politecnico di Torino","Department of Management and Production Engineering, Politecnico di Torino",Politecnico di Torino,66,,,
Bank of England - Monetary Assessment and Strategy Division and London School of Economics (LSE),Bank of England - Monetary Assessment and Strategy Division,London School of Economics (LSE),66,,,
Bank of Finland - Monetary Policy and Research Department and Aalto University - School of Business,Bank of Finland - Monetary Policy and Research Department,Aalto University - School of Business,66,,,
"Syracuse University - Whitman School of Management - Finance Department James D. Kuhn Center for Real Estate and School of Banking and Finance, University of International Business and Economics",Syracuse University - Whitman School of Management - Finance Department James D. Kuhn Center for Real Estate,"School of Banking and Finance, University of International Business and Economics",67,,,
Interdisciplinary Institute for Ethics and Human Rights  and Independent,Interdisciplinary Institute for Ethics,Human Rights  and Independent,67,,,
"Massachusetts Institute of Technology - Laboratory for Information and Decision Systems and Institute for Data, Systems, and Society, Massachusetts Institute of Technology",Massachusetts Institute of Technology - Laboratory for Information and Decision Systems,"Institute for Data, Systems, and Society, Massachusetts Institute of Technology",67,,,
Azerbaijan State University of Oil and Industry and Independent,Azerbaijan State University of Oil,Industry and Independent,67,,,
"affiliation not provided to SSRN and University of Ghana - Institute of Statistical, Social, and Economic Research (ISSER)","affiliation not provided to SSRN and University of Ghana - Institute of Statistical, Social",Economic Research (ISSER),67,,,
Housing and Building National Research Center - Architecture and Housing Institute and Housing and Building National Research Center - Architecture and Housing Institute,Housing and Building National Research Center - Architecture and Housing Institute and Housing and Building National Research Center - Architecture,Housing Institute,67,,,
Frederick University and School of Economics and Business-Department of Accounting and Finance,Frederick University and School of Economics,Business-Department of Accounting and Finance,67,,,
"University of California Santa Barbara and University College London - Financial Computing and Analytics Group, Department of Computer Science",University of California Santa Barbara,"University College London - Financial Computing and Analytics Group, Department of Computer Science",67,,,
"University of Hamburg, Department of Social Economics and Insitute for Sociology and Demography","University of Hamburg, Department of Social Economics",Insitute for Sociology and Demography,67,,,
Forest College and Research Institute and Tamil Nadu Agricultural University,Forest College,Research Institute and Tamil Nadu Agricultural University,67,,,
"Higher Education Research and Consulting Company and University Health Network, Toronto, ON",Higher Education Research and Consulting Company,"University Health Network, Toronto, ON",67,,,
"Department of Finance and Economics, Rutgers Business School, Rutgers University and Rutgers, The State University of New Jersey - Rutgers Business School at Newark & New Brunswick","Department of Finance and Economics, Rutgers Business School, Rutgers University","Rutgers, The State University of New Jersey - Rutgers Business School at Newark & New Brunswick",67,,,
"affiliation not provided to SSRN and Norwegian Institute of Food, Fisheries and Aquaculture Research","affiliation not provided to SSRN and Norwegian Institute of Food, Fisheries",Aquaculture Research,67,,,
"Department of Finance and Economics, Rutgers Business School, Rutgers University and Rutgers, The State University of New Jersey - Rutgers Business School at Newark & New Brunswick","Department of Finance and Economics, Rutgers Business School, Rutgers University","Rutgers, The State University of New Jersey - Rutgers Business School at Newark & New Brunswick",67,,,
HEC Montreal - Department of Finance and University of Toronto - Rotman School of Management and UTSC Management,HEC Montreal - Department of Finance,University of Toronto - Rotman School of Management and UTSC Management,67,,,
"CERGE-EI, joint workplace of the Charles University and Academy of Sciences of the Czech Republic and School of International and Public Affairs, Columbia University, NY, USA","CERGE-EI, joint workplace of the Charles University and Academy of Sciences of the Czech Republic","School of International and Public Affairs, Columbia University, NY, USA",67,,,
HEC Montreal - Department of Finance and University of Toronto - Rotman School of Management and UTSC Management,HEC Montreal - Department of Finance,University of Toronto - Rotman School of Management and UTSC Management,67,,,
University of Mannheim and IZA and Cardiff University - Cardiff Business School,University of Mannheim and IZA,Cardiff University - Cardiff Business School,68,,,
"Texas A&M University (TAMU), College of Agriculture and Life Sciences, Department of Agricultural Economics, Students and Texas A&M University-Corpus Christi-Department of Accounting","Texas A&M University (TAMU), College of Agriculture and Life Sciences, Department of Agricultural Economics, Students",Texas A&M University-Corpus Christi-Department of Accounting,68,,,
Russian Academy of National Economy and Public Administration under the President of the Russian Federation (RANEPA) - Center of Competence and Analysis of OECD Standards and Russian Presidential Academy of National Economy and Puvlic Administration,Russian Academy of National Economy and Public Administration under the President of the Russian Federation (RANEPA) - Center of Competence and Analysis of OECD Standards and Russian Presidential Academy of National Economy,Puvlic Administration,68,,,
